nx,quadraturetype,quadratureorder,convolutionmagnitude,convolutionwidth,rotationmagnitude,testcaseid,absL1,relL1,absL2,relL2
70,3,5,3.0,3.0,0,2,7.6439024644674687,0.0183627797164197,4.6302910195640088,0.0156985997279927
70,3,5,9.0,1.5,0,2,8.4574340906978804,0.0203171089499822,4.8117879327479143,0.0163139492556793
70,3,5,16.0,7.0,0,2,87.9851536852943639,0.2113648104418805,46.2227377553926644,0.1567141795813542
70,3,5,2.0,6.0,0,2,17.3204927341125519,0.0416086408918503,7.5248749869662870,0.0255124353792111
70,3,5,4.0,7.0,0,2,38.0579150679215417,0.0914256970319857,15.8163544677522854,0.0536239767427560
70,3,5,0.5,6.0,0,2,7.5519059847700944,0.0181417785852276,4.2155496870068809,0.0142924552452898
70,3,5,9.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,20.0,2.0,0,2,8.4185172085876090,0.0202236197752102,4.8080603001942066,0.0163013110411165
70,3,5,3.0,5.0,0,2,19.4228048212860749,0.0466589792408003,8.3962121835994008,0.0284666285001745
70,3,5,8.0,16.0,0,2,86.2738311400931224,0.2072537377185759,43.0663252495680808,0.1460126370009839
70,3,5,5.0,10.0,0,2,57.0971906231069823,0.1371633323047090,22.5573551587673045,0.0764787543727659
70,3,5,1.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,20.0,10.0,0,2,102.2755782432803358,0.2456943848225358,60.2397725429004609,0.2042377191542846
70,3,5,4.0,12.0,0,2,50.7534626537003390,0.1219239333426476,20.5143815680765016,0.0695522297721297
70,3,5,20.0,5.0,0,2,84.4103977200599758,0.2027772523673638,38.4485702115128234,0.1303565394299986
70,3,5,6.0,14.0,0,2,71.5923521719673772,0.1719847418808951,31.8091865817903923,0.1078462856245230
70,3,5,4.0,18.0,0,2,67.4416062420495734,0.1620134957112573,27.5373006792423460,0.0933628273312101
70,3,5,16.0,9.0,0,2,96.2527817900724898,0.2312259526229899,50.8451587786651942,0.1723860967701461
70,3,5,12.0,20.0,0,2,108.9561562619377924,0.2617429912909215,64.0328503009351664,0.2170978200008499
70,3,5,16.0,12.0,0,2,100.4634450268154353,0.2413411368284080,56.6781005550652281,0.1921621794823323
70,3,5,18.0,3.5,0,2,28.0659284904194060,0.0674221662039826,10.7063636729858072,0.0362989965715702
70,3,5,20.0,4.5,0,2,71.9196725650886890,0.1727710565027153,30.4056361446270103,0.1030876697150738
70,3,5,6.0,6.0,0,2,49.4550174648867227,0.1188047068628667,19.2814170469081354,0.0653719706016249
70,3,5,8.0,1.5,0,2,8.4574351338093656,0.0203171114558261,4.8117880238799149,0.0163139495646545
70,3,5,10.0,8.0,0,2,76.2933330826673313,0.1832778055110956,35.8881202054367066,0.1216755559671685
70,3,5,20.0,1.5,0,2,8.4574226165171602,0.0203170813858088,4.8117869302999328,0.0163139458569665
70,3,5,20.0,9.0,0,2,101.0194906187763308,0.2426769129931259,58.3157546687671626,0.1977145035836214
70,3,5,16.0,1.5,0,2,8.4574267889321622,0.0203170914091101,4.8117872948250815,0.0163139470928574
70,3,5,16.0,2.0,0,2,8.4259321767180140,0.0202414325909828,4.8088391715717975,0.0163039517369053
70,3,5,9.0,18.0,0,2,94.5366384035304606,0.2271032988979653,50.4339496864023573,0.1709919280415133
70,3,5,0.0,7.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,5.0,3.5,0,2,8.8473410041764424,0.0212537738008746,4.7613436437598740,0.0161429222731332
70,3,5,3.0,7.0,0,2,28.9426657754128875,0.0695283330092689,12.4614563973503376,0.0422494860870014
70,3,5,3.0,1.5,0,2,8.4574403494708292,0.0203171239852956,4.8117884795392643,0.0163139511095279
70,3,5,6.0,7.0,0,2,57.2545652867737118,0.1375413900174142,22.0403429862662001,0.0747258694857682
70,3,5,3.0,2.5,0,2,8.2751447395455493,0.0198791992284206,4.7847807229866959,0.0162223836555864
70,3,5,2.0,9.0,0,2,22.1268182559363780,0.0531547715774418,9.7463100709203623,0.0330440181798098
70,3,5,0.5,12.0,0,2,8.0869926869152149,0.0194272056673170,4.4141016179925554,0.0149656283302199
70,3,5,3.0,4.5,0,2,15.2604245800208567,0.0366597842194578,6.5139176160554895,0.0220848721783376
70,3,5,7.0,16.0,0,2,82.3664576932306147,0.1978671399423676,39.4183009164282367,0.1336443271988643
70,3,5,18.0,3.0,0,2,9.9802413634170009,0.0239753155570770,4.9868636150517371,0.0169075281575195
70,3,5,2.0,4.0,0,2,7.6711488799937877,0.0184282331845529,4.5081806985697384,0.0152845952855406
70,3,5,8.0,5.0,0,2,47.6714336779989196,0.1145200425390291,18.4045516615757023,0.0623990346368003
70,3,5,4.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,0.5,10.0,0,2,7.9254275478931460,0.0190390812673124,4.3037013083848885,0.0145913256647818
70,3,5,4.0,3.5,0,2,7.4407898864070416,0.0178748468122656,4.5806535972224980,0.0155303083567644
70,3,5,1.5,6.0,0,2,13.3058377331597235,0.0319643229845239,5.9662856801966742,0.0202281736418981
70,3,5,5.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,10.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,4.0,5.0,0,2,25.4397321738641402,0.0611133122282619,10.8531713219447656,0.0367967351604141
70,3,5,10.0,4.5,0,2,44.3379550573043844,0.1065120997525073,17.1759697375148619,0.0582336342813181
70,3,5,18.0,12.0,0,2,103.5219249937534016,0.2486884563632965,60.7958193135498703,0.2061229474575565
70,3,5,12.0,2.0,0,2,8.4336356465826121,0.0202599384681618,4.8096109711235284,0.0163065684562825
70,3,5,2.0,2.0,0,2,8.4533642537729197,0.0203073320697457,4.8114354657866922,0.0163127542470464
70,3,5,18.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,14.0,12.0,0,2,97.5477454969895206,0.2343368156149515,52.0892089277238810,0.1766039407996259
70,3,5,2.0,2.5,0,2,8.3310881772313756,0.0200135909252769,4.7932178462702675,0.0162509889896194
70,3,5,18.0,8.0,0,2,98.4902993768943418,0.2366010921867686,52.5282832385203307,0.1780925841326073
70,3,5,1.0,4.0,0,2,7.3045492480244407,0.0175475589062944,4.3644176297109576,0.0147971790812143
70,3,5,5.0,7.0,0,2,47.6281980644405110,0.1144161785701509,18.9871026848196891,0.0643741233075554
70,3,5,5.0,6.0,0,2,41.1648557630408334,0.0988894327143366,16.6548950014880930,0.0564669756253738
70,3,5,20.0,14.0,0,2,111.8255789125382194,0.2686361425695010,69.4732666291851899,0.2355430792577669
70,3,5,2.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,0.0,2.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,0.0,1.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,12.0,12.0,0,2,88.0254797750182263,0.2114616849252830,47.3506612772250080,0.1605383063626340
70,3,5,14.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,20.0,2.5,0,2,7.6784326232555165,0.0184457307616934,4.7070803480266754,0.0159589472797607
70,3,5,16.0,14.0,0,2,105.2360680695737187,0.2528063047856216,61.5214770566907987,0.2085832270384630
70,3,5,7.0,8.0,0,2,67.8334628409359937,0.1629548442487649,27.0443629888883201,0.0916915648859313
70,3,5,8.0,14.0,0,2,82.6936800436118062,0.1986532190382575,39.5383315825029271,0.1340512807518546
70,3,5,16.0,4.5,0,2,66.0542622122824241,0.1586807094900926,25.5578494846200392,0.0866516698998143
70,3,5,4.0,16.0,0,2,63.0188703199915352,0.1513888539319871,25.1012321917048169,0.0851035486089346
70,3,5,0.5,9.0,0,2,7.8572828571752202,0.0188753787671414,4.2644935486866036,0.0144583951593051
70,3,5,16.0,4.0,0,2,44.0656600680543278,0.1058579714549883,17.7141762384105910,0.0600583766987744
70,3,5,2.0,12.0,0,2,25.0612212458868839,0.0602040237041064,11.0607294187876626,0.0375004428688223
70,3,5,0.5,7.0,0,2,7.6918244965963201,0.0184779017661365,4.2157743903748868,0.0142932170825517
70,3,5,7.0,3.0,0,2,7.2119921667412434,0.0173252110541732,4.5656139913630103,0.0154793178787453
70,3,5,5.0,4.0,0,2,16.5859654771737439,0.0398441021267925,6.8135720287045007,0.0231008244502418
70,3,5,0.0,4.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,14.0,8.0,0,2,87.4583891978424219,0.2100993756341397,44.8750204447594072,0.1521448610403113
70,3,5,20.0,4.0,0,2,53.0677166432458449,0.1274834150884459,21.2583388696296289,0.0720745524171758
70,3,5,6.0,16.0,0,2,72.9391132924141061,0.1752200366665573,35.1525965981776807,0.1191818270304643
70,3,5,0.0,5.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,8.0,0.5,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,6.0,4.5,0,2,29.1353724362262447,0.0699912680060002,11.7279584877071130,0.0397626251022047
70,3,5,0.0,20.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,1.5,1.5,0,2,8.4574419142201585,0.0203171277442587,4.8117886162365693,0.0163139515729883
70,3,5,8.0,7.0,0,2,69.3081871502698021,0.1664975422045050,27.9783055106485925,0.0948580159267230
70,3,5,8.0,4.5,0,2,37.5201504481733394,0.0901338368470052,14.4808816615011828,0.0490961721308270
70,3,5,4.0,9.0,0,2,43.2513670039674309,0.1039018130359159,17.9293319398235269,0.0607878434258993
70,3,5,2.0,18.0,0,2,31.9026305551271818,0.0766389916644406,14.2889668308956619,0.0484455015585429
70,3,5,1.0,14.0,0,2,14.1074329644913483,0.0338899776776730,6.4253239741709596,0.0217845031266918
70,3,5,12.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
70,3,5,0.5,5.0,0,2,7.3761354550931628,0.0177195288859281,4.2751345837894741,0.0144944726650311
70,3,5,14.0,20.0,0,2,111.8097597646252268,0.2685981405764382,69.7590862636886726,0.2365121259154204
70,3,5,2.0,3.0,0,2,7.8258117504848119,0.0187997764158196,4.6750540373330036,0.0158503648536842
70,3,5,6.0,1.5,0,2,8.4574372200564838,0.0203171164675720,4.8117882061438255,0.0163139501826044
70,3,5,0.5,3.5,0,2,7.9223413712804103,0.0190316674127311,4.6613199477304885,0.0158038006151974
70,3,5,7.0,1.0,0,2,8.4574434791537918,0.0203171315036645,4.8117887529365033,0.0163139520364576
