,L1,L2,cfl,convolutionmagnitude,convolutiontoscattering,convolutionwidth,dim1flag,nx,ny,periodicXflag,periodicYflag,quadratureorder,quadraturetype,rotationmagnitude,testcaseid,whichrank
0,25.42212702559531,11.092909965633705,0.95,0.5,0.0,6.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
1,17.68588833508787,7.841786117176306,0.95,1.0,0.0,12.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
2,26.762750418614115,20.291730738775176,0.95,18.0,0.0,20.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
3,18.26039860637559,14.629454020375787,0.95,12.0,0.0,20.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
4,8.142108429004496,5.561160049036344,0.95,8.0,0.0,9.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
5,30.10732914601838,13.322438365388425,0.95,0.5,0.0,2.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
6,27.718206092309384,18.847955670612087,0.95,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,6.0,2.0,8.0,2.0,0.0
7,23.51302418450731,10.012789207591883,0.95,5.0,0.0,3.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
8,64.76474971096724,41.97013486105223,0.95,0.0,0.0,0.0,0.0,280.0,280.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0
9,7.008771088433947,3.6044090215919264,0.95,9.0,0.0,4.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
10,27.46131183880949,18.74107272672681,0.95,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0
11,13.622736709256412,5.92494602777859,0.95,2.0,0.0,7.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
12,6.270504301502069,3.6233364285249583,0.95,10.0,0.0,4.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
13,30.095822587804793,13.31594635139927,0.95,7.0,0.0,2.0,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
14,7.584877896161687,4.922752775970792,0.95,16.0,0.0,4.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
15,5.9891019294533985,3.953710839226497,0.95,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,4.0,2.0,10.0,1.0,0.0
16,30.07692481499009,13.30566848313834,0.95,0.5,0.0,2.5,0.0,200.0,200.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0
